# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02819e-05 to 1.05413 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.028185622909e-05      -1.314272118727e-03      -9.862178277053e-04      -9.862178566265e-04      -1.314252117107e-03      -9.863111824351e-04       4.676263954123e-01       4.674868973822e-01 
       1.294409008721e-05      -2.082344718959e-03      -1.563048811060e-03      -1.563048883703e-03      -2.082294489585e-03      -1.563196607825e-03       4.676259388065e-01       4.674865027482e-01 
       1.629564394334e-05      -3.298696090423e-03      -2.477262362134e-03      -2.477262544588e-03      -3.298569970108e-03      -2.477496201168e-03       4.676251643878e-01       4.674858265158e-01 
       2.051500026182e-05      -5.224069317023e-03      -3.926188364232e-03      -3.926188822479e-03      -5.223752714022e-03      -3.926557962328e-03       4.676239123925e-01       4.674847300548e-01 
       2.582685515258e-05      -8.269524252499e-03      -6.222569395874e-03      -6.222570546717e-03      -8.268729754302e-03      -6.223152630421e-03       4.676219286804e-01       4.674829926031e-01 
       3.251408425830e-05      -1.308106100202e-02      -9.862058540557e-03      -9.862061430437e-03      -1.307906840504e-02      -9.862976537624e-03       4.676188065101e-01       4.674802600350e-01 
       4.093280691400e-05      -2.066879973079e-02      -1.563018508930e-02      -1.563019234480e-02      -2.066380681344e-02      -1.563162406278e-02       4.676138478305e-01       4.674759171809e-01 
       5.153135080009e-05      -3.259945304168e-02      -2.477186226727e-02      -2.477188047815e-02      -3.258696002732e-02      -2.477410297271e-02       4.676060082749e-01       4.674690494680e-01 
       6.487412702632e-05      -5.127108607571e-02      -3.925997354480e-02      -3.926001923115e-02      -5.123989849209e-02      -3.926342519891e-02       4.675936064303e-01       4.674581774079e-01 
       8.167168708139e-05      -8.027462014093e-02      -6.222090246016e-02      -6.222101699438e-02      -8.019704400087e-02      -6.222612522991e-02       4.675740119668e-01       4.674409814493e-01 
       1.028185622909e-04      -1.247891639482e-01      -9.860856584795e-02      -9.860885264883e-02      -1.245973099156e-01      -9.861623098840e-02       4.675431060575e-01       4.674138122009e-01 
       1.294409008721e-04      -1.917940962371e-01      -1.562717276940e-01      -1.562724445641e-01      -1.913239455837e-01      -1.562823765625e-01       4.674944874014e-01       4.673709561972e-01 
       1.629564394334e-04      -2.894840416803e-01      -2.476432120557e-01      -2.476449987898e-01      -2.883486238610e-01      -2.476564725518e-01       4.674183307087e-01       4.673035434095e-01 
       2.051500026182e-04      -4.244693473230e-01      -3.924113134812e-01      -3.924157467491e-01      -4.217907899747e-01      -3.924238162326e-01       4.672998180491e-01       4.671979554612e-01 
       2.582685515258e-04      -5.941810316271e-01      -6.217396256998e-01      -6.217505482936e-01      -5.880963824075e-01      -6.217401776935e-01       4.671172181610e-01       4.670336629191e-01 
       3.251408425830e-04      -7.718522141113e-01      -9.849215967413e-01      -9.849482132154e-01      -7.588571802226e-01      -9.848816415914e-01       4.668399664043e-01       4.667805724950e-01 
       4.093280691400e-04      -8.886596625683e-01      -1.559850148572e+00      -1.559913919821e+00      -8.636168177527e-01      -1.559709409412e+00       4.664275316375e-01       4.663963783449e-01 
       5.153135080009e-04      -8.447912953833e-01      -2.469439711647e+00      -2.469588625992e+00      -8.044096984560e-01      -2.469096859350e+00       4.658297531844e-01       4.658249741818e-01 
       6.487412702632e-04      -6.178309484564e-01      -3.907290253982e+00      -3.907625037083e+00      -5.713811931048e-01      -3.906627896751e+00       4.649866310258e-01       4.649966986293e-01 
       8.167168708139e-04      -4.254105796545e-01      -6.177617544636e+00      -6.178330678913e+00      -4.027188929891e-01      -6.176572487941e+00       4.638189245369e-01       4.638272836392e-01 
       1.028185622909e-03      -4.516101343782e-01      -9.757001339896e+00      -9.758414840027e+00      -4.648832586194e-01      -9.755533037131e+00       4.622028704445e-01       4.622045727607e-01 
       1.294409008721e-03      -3.041125613248e-01      -1.538891010835e+01      -1.539147711946e+01      -2.989103465436e-01      -1.538675637666e+01       4.599577348759e-01       4.599603865533e-01 
       1.629564394334e-03      -2.584315315813e-01      -2.422644855964e+01      -2.423071637843e+01      -2.371025815559e-01      -2.422318257358e+01       4.568717783559e-01       4.568727995473e-01 
       2.051500026182e-03      -8.847118787719e-02      -3.804566300650e+01      -3.805242748741e+01      -9.265779744112e-02      -3.804049996038e+01       4.526943485967e-01       4.526955332200e-01 
